COMPOUND_ID,SMILES,pIC50,source,MW,LogP,HBD,HBA,TPSA,RotBonds
MMV007092,CCOc1ccc(CN2CCN(CC(O)COc3ccc(OCC(O)CN4CCN(Cc5ccc(OCC)cc5)CC4)cc3)CC2)cc1,5.92,MMV,662.4,3.6,2,10,90.34,18
MMV665898,COc1cc(C(=O)Nc2ccc(-c3nc4ccccc4[nH]3)cc2)cc(OC)c1OC,5.91,MMV,403.15,4.51,2,5,85.47,6
MMV665864,CCCCNc1nc(NC(C)(C)C)nc(NC(C)(C)C)n1,6.15,MMV,294.25,3.5,3,6,74.76,6
MMV665814,Oc1c(C(Nc2ccccn2)c2cccc(Oc3ccccc3)c2)ccc2cccnc12,6.0,MMV,419.16,6.33,2,5,67.27,6
MMV007285,CCOc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1,5.4,MMV,298.09,5.03,1,3,34.15,4
MMV396663,Cc1sc(NC(=O)c2ccco2)c(C(c2cccnc2)N2CCC(Cc3ccccc3)CC2)c1C,5.99,MMV,485.21,6.65,1,5,58.37,7
MMV007041,Cc1ccc2c(C)nc(Nc3nc(C)cc(-c4ccccc4)n3)nc2c1,5.4,MMV,341.16,4.76,1,5,63.59,3
MMV000340,CCn1c2c(c(=N)c3c1CCC3)CCCC2,6.16,MMV,216.16,2.35,1,2,28.78,1
MMV666687,COc1cc(C(=O)ON=C(N)Cc2cccc3ccccc23)cc(OC)c1OC,6.11,MMV,394.15,3.54,1,6,92.37,7
MMV645672,O=C1C2=C(Nc3ccccc3SC2c2ccccc2)c2ccccc21,6.05,MMV,341.09,5.55,1,3,29.1,1
MMV011438,COC(=O)c1ccc(C2C3=C(O)CC(c4ccc(F)cc4)CC3=Nc3ccccc3N2C(=O)c2ccccc2)cc1,6.49,MMV,546.2,7.48,1,5,79.2,4
MMV665840,O=C(Nc1ccc(-c2nc3ccccc3[nH]2)cc1)c1ccc(Cl)c(Cl)c1,6.08,MMV,381.04,5.79,2,2,57.78,3
MMV665894,CC(=O)c1sc(NC(=O)Nc2ccc(C)cc2C)nc1C,6.27,MMV,303.1,3.91,2,4,71.09,3
